City_ID,City,Country,Temperature,Humidity,Cloudiness,Windspeed,Latitude,Longitude,Date
0,ushuaia,AR,44.26,61,40,13.8,-54.8,-68.3,1650666921
1,urumqi,CN,54.55,33,0,4.47,43.801,87.6005,1650666986
2,rikitea,PF,71.29,88,100,7.81,-23.1203,-134.9692,1650666986
3,carutapera,BR,75.96,91,100,4.72,-1.195,-46.02,1650666986
4,port moresby,PG,78.22,83,40,5.75,-9.4431,147.1797,1650666690
5,mataura,NZ,55.47,75,14,5.82,-46.1927,168.8643,1650666914
6,sisimiut,GL,26.4,89,100,6.38,66.9395,-53.6735,1650666987
7,oussouye,SN,78.98,66,44,6.42,12.485,-16.5469,1650667315
8,mahebourg,MU,76.24,69,40,14.97,-20.4081,57.7,1650667316
9,port elizabeth,ZA,61.32,81,0,13.8,-33.918,25.5701,1650667316
10,cape town,ZA,59.41,69,20,19.57,-33.9258,18.4232,1650667316
11,barrow,US,8.62,92,100,5.75,71.2906,-156.7887,1650667317
12,lasa,IT,50.88,97,97,2.91,46.6166,10.7002,1650667317
13,new norfolk,AU,48.92,78,10,3.15,-42.7826,147.0587,1650666922
14,hay river,CA,40.96,38,40,6.91,60.8156,-115.7999,1650666990
15,avarua,CK,80.65,69,75,23.02,-21.2078,-159.775,1650666756
16,palmer,US,61.97,29,20,14.97,42.1584,-72.3287,1650666852
17,iqaluit,CA,13.73,72,75,9.22,63.7506,-68.5145,1650666947
18,busselton,AU,55.8,78,0,11.54,-33.65,115.3333,1650666991
19,kapaa,US,82.38,81,75,12.66,22.0752,-159.319,1650666763
20,ust-kuyga,RU,9.75,95,100,0.38,70.0167,135.6,1650666991
21,nedryhayliv,UA,44.55,84,96,7.45,50.834,33.8763,1650666992
22,lingao,CN,75.9,87,3,4.29,19.9103,109.6859,1650666992
23,hermanus,ZA,55.8,67,35,10.94,-34.4187,19.2345,1650666745
24,butaritari,KI,82.09,74,20,19.39,3.0707,172.7902,1650666754
25,mar del plata,AR,55.42,89,75,14.0,-38.0023,-57.5575,1650666993
26,arraial do cabo,BR,75.81,82,0,8.93,-22.9661,-42.0278,1650666919
27,jawhar,SO,79.88,78,77,8.08,2.7809,45.5005,1650666993
28,makakilo city,US,82.72,52,75,14.97,21.3469,-158.0858,1650666994
29,bluff,NZ,55.8,71,72,28.01,-46.6,168.3333,1650666937
30,elizabeth city,US,73.44,61,0,11.5,36.2946,-76.2511,1650666880
31,moose factory,CA,24.8,74,0,12.66,51.2585,-80.6094,1650666948
32,nzega,RW,56.73,96,99,3.18,-2.479,29.5564,1650666995
33,kaura namoda,NG,92.26,26,46,2.28,12.5898,6.5779,1650666995
34,tuktoyaktuk,CA,17.6,67,20,17.27,69.4541,-133.0374,1650666917
35,nikolskoye,RU,44.8,79,90,4.16,59.7035,30.7861,1650666948
36,severodvinsk,RU,32.11,97,100,15.41,64.5635,39.8302,1650666996
37,mpongwe,ZM,60.73,98,45,4.21,-13.5091,28.155,1650666998
38,cockeysville,US,70.88,37,99,4.41,39.4812,-76.6439,1650666998
39,chokurdakh,RU,9.77,93,100,6.38,70.6333,147.9167,1650666920
40,cidreira,BR,71.37,80,100,15.3,-30.1811,-50.2056,1650666807
41,ust-maya,RU,28.31,81,79,1.05,60.4167,134.5333,1650666999
42,los llanos de aridane,ES,60.55,80,75,4.61,28.6585,-17.9182,1650666999
43,punta arenas,CL,46.51,71,100,3.44,-53.15,-70.9167,1650666911
44,cedar city,US,41.97,75,100,12.66,37.6775,-113.0619,1650666851
45,kaitangata,NZ,54.7,62,56,10.31,-46.2817,169.8464,1650666799
46,tura,IN,69.62,96,8,6.6,25.5198,90.2201,1650666939
47,tasiilaq,GL,33.96,92,100,4.34,65.6145,-37.6368,1650666797
48,north bend,US,63.25,77,0,9.22,43.4065,-124.2243,1650667000
49,yellowknife,CA,45.12,24,20,2.3,62.456,-114.3525,1650666919
50,albany,US,59.41,61,10,8.88,42.6001,-73.9662,1650666943
51,kruisfontein,ZA,58.89,83,100,4.94,-34.0033,24.7314,1650666771
52,karwar,IN,79.95,79,47,3.65,14.8,74.1333,1650667001
53,bilibino,RU,16.29,87,99,2.37,68.0546,166.4372,1650667002
54,east london,ZA,63.91,91,99,10.71,-33.0153,27.9116,1650666741
55,marsh harbour,BS,73.31,65,73,21.9,26.5412,-77.0636,1650666931
56,ostrovnoy,RU,29.01,89,100,12.44,68.0531,39.5131,1650667003
57,shubarshi,KZ,51.75,84,48,7.67,48.5872,57.1869,1650666914
58,kieta,PG,80.31,81,100,0.51,-6.2167,155.6333,1650666958
59,kahului,US,82.42,70,75,21.85,20.8947,-156.47,1650666870
60,castro,BR,60.01,93,8,4.41,-24.7911,-50.0119,1650666806
61,mugur-aksy,RU,22.23,70,1,4.07,50.35,90.5,1650667004
62,hambantota,LK,79.7,81,94,7.18,6.1241,81.1185,1650666950
63,tecoanapa,MX,85.95,56,2,8.25,16.5167,-98.75,1650667004
64,provideniya,RU,33.01,65,20,1.41,64.3833,-173.3,1650666812
65,cabo san lucas,MX,88.11,23,0,14.97,22.8909,-109.9124,1650666944
66,margate,GB,50.88,88,100,5.01,51.3813,1.3862,1650666749
67,buritizeiro,BR,76.21,41,63,2.42,-17.3511,-44.9622,1650667006
68,qaanaaq,GL,5.5,90,100,4.0,77.484,-69.3632,1650666751
69,hofn,IS,44.78,86,11,0.45,64.2539,-15.2082,1650666811
70,sao filipe,CV,73.29,78,1,5.39,14.8961,-24.4956,1650666957
71,mrakovo,RU,41.54,61,16,7.14,52.7161,56.6244,1650667007
72,hithadhoo,MV,84.67,70,100,11.5,-0.6,73.0833,1650666823
73,christchurch,NZ,60.33,67,71,4.61,-43.5333,172.6333,1650666962
74,victoria,HK,77.38,91,10,3.0,22.2855,114.1577,1650666963
75,souillac,MU,75.58,69,40,14.97,-20.5167,57.5167,1650666964
76,jamestown,US,54.01,42,0,11.5,42.097,-79.2353,1650666943
77,ahipara,NZ,65.52,58,74,16.13,-35.1667,173.1667,1650666923
78,havoysund,NO,34.03,76,100,15.21,70.9963,24.6622,1650666829
79,mahanoro,MG,73.35,94,100,3.94,-19.9,48.8,1650667008
80,manuk mangkaw,PH,82.63,73,75,2.62,4.8,119.85,1650667008
81,airai,TL,63.23,74,71,2.64,-8.9266,125.4092,1650666930
82,kadyy,RU,38.53,67,11,3.58,57.787,43.1903,1650667009
83,hobart,AU,49.26,83,20,10.36,-42.8794,147.3294,1650666936
84,saint-philippe,RE,76.59,83,88,16.82,-21.3585,55.7679,1650666789
85,shache,CN,66.6,33,100,4.29,38.4167,77.2406,1650667010
86,rocha,UY,53.78,91,100,7.54,-34.4833,-54.3333,1650666987
87,khatanga,RU,-0.8,96,81,6.91,71.9667,102.5,1650666949
88,puerto ayora,EC,75.16,86,48,8.93,-0.7393,-90.3518,1650666754
89,sept-iles,CA,45.12,57,40,11.5,50.2001,-66.3821,1650666927
90,tuy hoa,VN,75.16,87,24,3.27,13.0833,109.3,1650667011
91,salalah,OM,82.49,78,20,3.44,17.0151,54.0924,1650666926
92,hami,CN,62.91,19,92,9.71,42.8,93.45,1650666916
93,likasi,CD,64.47,89,99,2.89,-10.9814,26.7333,1650667012
94,chicla,PE,44.37,94,100,5.97,-11.705,-76.2686,1650667012
95,waspan,NI,81.46,70,97,6.22,14.7419,-83.9717,1650667013
96,nanyamba,TZ,69.84,96,78,2.66,-10.6833,39.8333,1650667013
97,maneadero,MX,60.6,61,63,17.65,31.7167,-116.5667,1650667013
98,lebu,CL,54.9,90,79,8.63,-37.6167,-73.65,1650667014
99,saint-augustin,CA,33.15,100,100,4.54,51.226,-58.6502,1650666843
100,pandan,PH,80.38,84,18,10.0,14.0453,124.1694,1650667014
101,morondava,MG,75.47,89,98,0.6,-20.2833,44.2833,1650667015
102,torbay,CA,43.57,50,100,8.05,47.6666,-52.7314,1650667015
103,loubomo,CG,72.05,98,100,3.85,-4.1997,12.6739,1650667015
104,aktau,KZ,50.58,73,11,11.23,43.65,51.2,1650667016
105,fortuna,US,61.86,68,75,11.5,40.5982,-124.1573,1650667016
106,clarksdale,US,84.18,42,0,12.66,34.2001,-90.5709,1650666847
107,atuona,PF,79.07,75,35,12.3,-9.8,-139.0333,1650666757
108,isangel,VU,80.92,62,80,11.03,-19.55,169.2667,1650667017
109,cherskiy,RU,23.23,89,99,7.45,68.75,161.3,1650666874
